Nama Pengguna Jasa,Kategori Pengguna Jasa,Divisi,Email,No Telp,Contact Person,No Telp Cp,Alamat
sarana maju lestari,Swasta,IT,smltech@co.id,21888555,andi ruswandi,8189101112,Jl. mampang prapatan 26
PT Perikanan Nusantara (Persero),Swasta,Dok dan Bengkel,eproc@perinus.co.id,2187654321,ikan kembung,812345678,"Jln. K.H. Hasyim Asyhari No. 17 A, Jakarta Pusat Indonesia"
PT. PLN (Persero) Pusat Enjiniring Ketenaga Listrikan,BUMN,Gas & Fuel,contact@pln-enjiniring.com,211234567,Pak Listrik,8151777888,"Jl. KS Tubun I No.2, RT.3/RW.2, Kota Bambu Sel., Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420"
Jasa Marga,BUMN,Pemerintah,dudiskandar325@gmail.com,12310,QWERTY,1231,"Plaza Tol Taman Mini Indonesia Indah Jakarta, 13550 Indonesia"
Jasa Marga,BUMN,Pemerintah,iskandar325@gmail.com,12310,QWERTY,1231,"Jln. Teuku Umar, Sepanjang Jaya, Rawa Lumbu Bekasi 17114"
test,BUMN,ok,ariespratama96@gmail.com,1287,asdjk,2831923,
Jasa Marga,BUMN,Pemerintah,dudyiskandar325@gmail.com,12310,QWERTY,1231,
test,BUMN,ok,ariespratama96@gmail.com,1287,asdjk,2831923,
Jasa Marga,BUMN,Pemerintah,dudyiskandar325@gmail.com,12310,QWERTY,1231,
test,BUMN,ok,ariespratama96@gmail.com,1287,asdjk,2831923,
Jasa Marga,BUMN,Pemerintah,dudyiskandar325@gmail.com,12310,QWERTY,1231,
test,BUMN,ok,ariespratama96@gmail.com,1287,asdjk,2831923,
test,BUMN,ok,ariespratama96@gmail.co2,1287,asdjk,2831923,
test,Kementrian,ok,ariespratama96@gmail.com,1287,asdjk,2831923,ok
Jasa Marga,BUMN,Pemerintah,dudyiskandar325@gmail.com,12310,QWERTY,1231,Jauh Pake Helm
